policy,scenario,distribution_family,n,level,total_replications,conditional_denominator,classification_rate,classification_ci95_lower,classification_ci95_upper,type_i_error,type_i_ci95_lower,type_i_ci95_upper,ci_coverage,coverage_ci95_lower,coverage_ci95_upper,denominator_sufficient,confirmatory_cell,operating_region
v3_scenario_context,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,15,insufficient,200,1,0.005,0.0008831687156009814,0.02777370439789293,0.0,0.0,0.7934506856227626,1.0,0.20654931437723745,1.0,False,False,false_insufficient
v2,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,20,insufficient,200,25,0.125,0.08611974475712644,0.17801425002582347,0.0,1.3877787807814457e-17,0.13319225093904846,1.0,0.8668077490609515,0.9999999999999999,False,False,false_insufficient
v3_default,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,20,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_default,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,20,insufficient,200,6,0.03,0.013820314340111346,0.06389429245451925,0.0,2.7755575615628914e-17,0.3903342879021653,1.0,0.6096657120978346,1.0,False,False,false_insufficient
v3_scenario_context,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,20,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_scenario_context,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,20,insufficient,200,6,0.03,0.013820314340111346,0.06389429245451925,0.0,2.7755575615628914e-17,0.3903342879021653,1.0,0.6096657120978346,1.0,False,False,false_insufficient
v2,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,30,acceptable,200,182,0.91,0.8622342812328346,0.9423125511378069,0.07142857142857142,0.042215244868037634,0.11835957525047067,0.9285714285714286,0.8816404247495294,0.9577847551319624,False,False,false_safe
v2,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,30,insufficient,200,18,0.09,0.05768744886219316,0.13776571876716542,0.0,0.0,0.17587922364665765,1.0,0.8241207763533425,1.0,False,False,false_insufficient
v3_default,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,30,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_default,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,30,insufficient,200,2,0.01,0.0027466581335444384,0.0357217617161768,0.0,0.0,0.6576197724933469,1.0,0.34238022750665303,1.0,False,False,false_insufficient
v3_scenario_context,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,30,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_scenario_context,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,30,insufficient,200,2,0.01,0.0027466581335444384,0.0357217617161768,0.0,0.0,0.6576197724933469,1.0,0.34238022750665303,1.0,False,False,false_insufficient
v2,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,40,insufficient,200,14,0.07,0.042152171828342806,0.11405480885610647,0.0,1.3877787807814457e-17,0.2153108027376358,1.0,0.7846891972623643,1.0,False,False,false_insufficient
v3_default,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,40,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_default,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,40,insufficient,200,7,0.035,0.017055542008567192,0.07047061152229073,0.0,5.551115123125783e-17,0.35433043506668743,1.0,0.6456695649333126,1.0,False,False,false_insufficient
v3_scenario_context,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,40,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_scenario_context,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,40,insufficient,200,7,0.035,0.017055542008567192,0.07047061152229073,0.0,5.551115123125783e-17,0.35433043506668743,1.0,0.6456695649333126,1.0,False,False,false_insufficient
v2,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,50,insufficient,200,11,0.055,0.03098534170345884,0.0957869987723084,0.0,0.0,0.2588329669680317,1.0,0.7411670330319684,1.0,False,False,false_insufficient
v3_default,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,50,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_default,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,50,insufficient,200,4,0.02,0.0078044264163494685,0.050287086905826436,0.0,0.0,0.4898908364545973,1.0,0.5101091635454027,1.0,False,False,false_insufficient
v3_scenario_context,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,50,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_scenario_context,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,50,insufficient,200,4,0.02,0.0078044264163494685,0.050287086905826436,0.0,0.0,0.4898908364545973,1.0,0.5101091635454027,1.0,False,False,false_insufficient
v2,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,80,insufficient,200,11,0.055,0.03098534170345884,0.0957869987723084,0.0,0.0,0.2588329669680317,1.0,0.7411670330319684,1.0,False,False,false_insufficient
v3_default,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,80,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_default,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,80,insufficient,200,10,0.05,0.02738264560076393,0.08957814813877599,0.0,0.0,0.2775327998628892,1.0,0.7224672001371107,0.9999999999999999,False,False,false_insufficient
v3_scenario_context,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,80,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_scenario_context,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,80,insufficient,200,10,0.05,0.02738264560076393,0.08957814813877599,0.0,0.0,0.2775327998628892,1.0,0.7224672001371107,0.9999999999999999,False,False,false_insufficient
v2,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,100,insufficient,5000,477,0.0954,0.08756516763547541,0.10385605677846481,0.031446540880503145,0.019148026645175203,0.051231634259467404,0.9685534591194969,0.9487683657405326,0.9808519733548249,True,True,false_insufficient
v3_default,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,100,acceptable,5000,0,0.0,0.0,0.0007677019450571244,,,,,,,False,True,false_safe
v3_default,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,100,insufficient,5000,471,0.0942,0.08641201089382725,0.10261105600478113,0.029723991507430998,0.017787063179323253,0.0492699686556283,0.970276008492569,0.9507300313443717,0.9822129368206768,True,True,false_insufficient
v3_scenario_context,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,100,acceptable,5000,0,0.0,0.0,0.0007677019450571244,,,,,,,False,True,false_safe
v3_scenario_context,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,100,insufficient,5000,471,0.0942,0.08641201089382725,0.10261105600478113,0.029723991507430998,0.017787063179323253,0.0492699686556283,0.970276008492569,0.9507300313443717,0.9822129368206768,True,True,false_insufficient
v2,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,200,acceptable,200,150,0.75,0.6856590168795417,0.8049183199318249,0.07333333333333333,0.041438815160384994,0.12653579336704038,0.9266666666666666,0.8734642066329596,0.9585611848396149,False,False,false_safe
v2,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,200,insufficient,200,21,0.105,0.06970748792681017,0.1551803199112304,0.047619047619047616,0.008455987809826399,0.22669360074122563,0.9523809523809523,0.7733063992587743,0.9915440121901737,False,False,false_insufficient
v3_default,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,200,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_default,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,200,insufficient,200,22,0.11,0.07377244460125303,0.1609269099730149,0.045454545454545456,0.00806942762126385,0.21798045838657332,0.9545454545454546,0.7820195416134267,0.991930572378736,False,False,false_insufficient
v3_scenario_context,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,200,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_scenario_context,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,200,insufficient,200,22,0.11,0.07377244460125303,0.1609269099730149,0.045454545454545456,0.00806942762126385,0.21798045838657332,0.9545454545454546,0.7820195416134267,0.991930572378736,False,False,false_insufficient
v2,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,500,insufficient,200,17,0.085,0.05374575017747561,0.13189587071565567,0.058823529411764705,0.010460400984997592,0.26982030637575405,0.9411764705882353,0.7301796936242461,0.9895395990150025,False,False,false_insufficient
v3_default,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,500,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_default,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,500,insufficient,200,25,0.125,0.08611974475712644,0.17801425002582347,0.04,0.007096233501987265,0.19544063736193734,0.96,0.8045593626380625,0.9929037664980127,False,False,false_insufficient
v3_scenario_context,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,500,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_scenario_context,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,500,insufficient,200,25,0.125,0.08611974475712644,0.17801425002582347,0.04,0.007096233501987265,0.19544063736193734,0.96,0.8045593626380625,0.9929037664980127,False,False,false_insufficient
v3_default,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,750,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_default,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,750,insufficient,200,19,0.095,0.06166310271738653,0.1436016116481994,0.05263157894736842,0.009351994062300362,0.24638731166898786,0.9473684210526315,0.753612688331012,0.9906480059376995,False,False,false_insufficient
v3_scenario_context,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,750,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_scenario_context,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,750,insufficient,200,19,0.095,0.06166310271738653,0.1436016116481994,0.05263157894736842,0.009351994062300362,0.24638731166898786,0.9473684210526315,0.753612688331012,0.9906480059376995,False,False,false_insufficient
v2,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,2000,acceptable,200,13,0.065,0.03837635464915299,0.10801907929906895,0.15384615384615385,0.043258178358081184,0.4223463101948254,0.8461538461538461,0.5776536898051745,0.9567418216419186,False,False,false_safe
v3_default,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,2000,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_scenario_context,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,2000,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_default,contamination_asymmetric_eps_0p005,normal_contamination_asymmetric,5,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_scenario_context,contamination_asymmetric_eps_0p005,normal_contamination_asymmetric,5,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v2,contamination_asymmetric_eps_0p005,normal_contamination_asymmetric,8,insufficient,200,52,0.26,0.20413830063574687,0.32490745602534116,0.019230769230769232,0.0034028080709451597,0.10120511127892247,0.9807692307692307,0.8987948887210774,0.9965971919290547,False,False,false_insufficient
v3_default,contamination_asymmetric_eps_0p005,normal_contamination_asymmetric,8,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_scenario_context,contamination_asymmetric_eps_0p005,normal_contamination_asymmetric,8,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
