policy,scenario,distribution_family,n,level,total_replications,conditional_denominator,classification_rate,classification_ci95_lower,classification_ci95_upper,type_i_error,type_i_ci95_lower,type_i_ci95_upper,ci_coverage,coverage_ci95_lower,coverage_ci95_upper
v3_oracle_simulation_truth,normal,normal,30,acceptable,5000,4027,0.8054,0.7941938739250041,0.8161372137269551,0.04891979140799603,0.04267693765501232,0.05602241901407655,0.9510802085920039,0.9439775809859234,0.9573230623449878
v3_oracle_simulation_truth,normal,normal,30,caution,5000,973,0.1946,0.1838627862730449,0.20580612607499602,0.041109969167523124,0.030333761709405223,0.055495374701239074,0.9588900308324769,0.944504625298761,0.969666238290595
v3_oracle_simulation_truth,normal,normal,30,insufficient,5000,0,0.0,0.0,0.0007677019450571244,,,,,,
v2,normal,normal,10000,acceptable,5000,44,0.0088,0.006562037439973316,0.011792152950850806,0.09090909090909091,0.03592219322731624,0.21159239166598612,0.9090909090909091,0.7884076083340138,0.9640778067726837
v2,normal,normal,10000,caution,5000,4956,0.9912,0.9882078470491492,0.9934379625600268,0.05004035512510089,0.044311114702097844,0.05646659421675577,0.9499596448748991,0.9435334057832443,0.9556888852979022
v2,normal,normal,10000,insufficient,5000,0,0.0,0.0,0.0007677019450571244,,,,,,
v3_default,normal,normal,10000,acceptable,5000,0,0.0,0.0,0.0007677019450571244,,,,,,
v3_default,normal,normal,10000,caution,5000,5000,1.0,0.9992322980549431,1.0000000000000002,0.0504,0.0446738140627647,0.056816503526230674,0.9496,0.9431834964737694,0.9553261859372354
v3_default,normal,normal,10000,insufficient,5000,0,0.0,0.0,0.0007677019450571244,,,,,,
v3_oracle_simulation_truth,normal,normal,10000,acceptable,5000,4789,0.9578,0.951867024068152,0.9630300680309537,0.050323658383796196,0.04448451718245916,0.05688363008361755,0.9496763416162038,0.9431163699163824,0.9555154828175408
v3_oracle_simulation_truth,normal,normal,10000,caution,5000,211,0.0422,0.03696993196904638,0.04813297593184793,0.052132701421800945,0.02935621106986614,0.09092531635292664,0.9478672985781991,0.9090746836470733,0.9706437889301338
v3_oracle_simulation_truth,normal,normal,10000,insufficient,5000,0,0.0,0.0,0.0007677019450571244,,,,,,
v2,student_t_df_5,student_t,20,acceptable,10000,6507,0.6507,0.641299639792801,0.6599846230982769,0.05471031197172276,0.049442882980748996,0.06050319132442295,0.9452896880282773,0.939496808675577,0.950557117019251
v2,student_t_df_5,student_t,20,caution,10000,0,0.0,0.0,0.00038399837067659573,,,,,,
v2,student_t_df_5,student_t,20,insufficient,10000,3493,0.3493,0.34001537690172307,0.3587003602071988,0.036072144288577156,0.030380389732798496,0.042783195700947865,0.9639278557114228,0.9572168042990521,0.9696196102672014
v3_default,student_t_df_5,student_t,20,acceptable,10000,0,0.0,0.0,0.00038399837067659573,,,,,,
v3_default,student_t_df_5,student_t,20,caution,10000,9891,0.9891,0.9868688476233592,0.9909555251704448,0.048528965726417954,0.04446669977614214,0.052941779463460396,0.951471034273582,0.9470582205365395,0.9555333002238579
v3_default,student_t_df_5,student_t,20,insufficient,10000,109,0.0109,0.009044474829555112,0.013131152376640733,0.01834862385321101,0.005046362367343297,0.06444457564998826,0.981651376146789,0.9355554243500118,0.9949536376326568
v3_oracle_simulation_truth,student_t_df_5,student_t,20,acceptable,10000,4982,0.4982,0.4884028164789366,0.5079985659151977,0.0541951023685267,0.04824486370034221,0.060832302774447684,0.9458048976314734,0.9391676972255524,0.9517551362996578
v3_oracle_simulation_truth,student_t_df_5,student_t,20,caution,10000,5018,0.5018,0.49200143408480224,0.5115971835210633,0.04224790753288163,0.03702358678634846,0.04817254342385662,0.9577520924671183,0.9518274565761433,0.9629764132136516
v3_oracle_simulation_truth,student_t_df_5,student_t,20,insufficient,10000,0,0.0,0.0,0.00038399837067659573,,,,,,
