policy,scenario,distribution_family,n,level,total_replications,conditional_denominator,classification_rate,classification_ci95_lower,classification_ci95_upper,type_i_error,type_i_ci95_lower,type_i_ci95_upper,ci_coverage,coverage_ci95_lower,coverage_ci95_upper
v3_oracle_simulation_truth,bimodal_asymmetric,bimodal,50,all,200,200,1.0,0.9811546736227335,1.0,0.065,0.03837635464915299,0.10801907929906895,0.935,0.8919809207009312,0.961623645350847
v3_oracle_simulation_truth,bimodal_asymmetric,bimodal,50,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
v3_oracle_simulation_truth,bimodal_asymmetric,bimodal,50,caution,200,200,1.0,0.9811546736227335,1.0,0.065,0.03837635464915299,0.10801907929906895,0.935,0.8919809207009312,0.961623645350847
v3_oracle_simulation_truth,bimodal_asymmetric,bimodal,50,insufficient,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
v2,bimodal_asymmetric,bimodal,80,all,200,200,1.0,0.9811546736227335,1.0,0.075,0.04597491718438201,0.12004361023629456,0.925,0.8799563897637055,0.954025082815618
v2,bimodal_asymmetric,bimodal,80,acceptable,200,20,0.1,0.06567044866909588,0.1494058124327174,0.25,0.11186170140766569,0.468700877618744,0.75,0.531299122381256,0.8881382985923343
v2,bimodal_asymmetric,bimodal,80,caution,200,108,0.54,0.4708228918895333,0.6076694820002854,0.07407407407407407,0.03801024869807134,0.13939676145640315,0.9259259259259259,0.8606032385435969,0.9619897513019287
v2,bimodal_asymmetric,bimodal,80,insufficient,200,72,0.36,0.2966919730456654,0.42858471833996925,0.027777777777777776,0.007651021904494577,0.09574175221438225,0.9722222222222222,0.9042582477856177,0.9923489780955054
v3_default,bimodal_asymmetric,bimodal,80,all,200,200,1.0,0.9811546736227335,1.0,0.075,0.04597491718438201,0.12004361023629456,0.925,0.8799563897637055,0.954025082815618
v3_default,bimodal_asymmetric,bimodal,80,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
v3_default,bimodal_asymmetric,bimodal,80,caution,200,200,1.0,0.9811546736227335,1.0,0.075,0.04597491718438201,0.12004361023629456,0.925,0.8799563897637055,0.954025082815618
v3_default,bimodal_asymmetric,bimodal,80,insufficient,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
v3_oracle_simulation_truth,bimodal_asymmetric,bimodal,80,all,200,200,1.0,0.9811546736227335,1.0,0.075,0.04597491718438201,0.12004361023629456,0.925,0.8799563897637055,0.954025082815618
v3_oracle_simulation_truth,bimodal_asymmetric,bimodal,80,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
v3_oracle_simulation_truth,bimodal_asymmetric,bimodal,80,caution,200,200,1.0,0.9811546736227335,1.0,0.075,0.04597491718438201,0.12004361023629456,0.925,0.8799563897637055,0.954025082815618
v3_oracle_simulation_truth,bimodal_asymmetric,bimodal,80,insufficient,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
v2,bimodal_asymmetric,bimodal,100,all,200,200,1.0,0.9811546736227335,1.0,0.025,0.010724719651761264,0.05717834040664198,0.975,0.942821659593358,0.9892752803482386
v2,bimodal_asymmetric,bimodal,100,acceptable,200,10,0.05,0.02738264560076393,0.08957814813877599,0.0,0.0,0.2775327998628892,1.0,0.7224672001371107,0.9999999999999999
v2,bimodal_asymmetric,bimodal,100,caution,200,119,0.595,0.525797100813387,0.6606222871749323,0.025210084033613446,0.008610231289265309,0.07150489364635793,0.9747899159663865,0.9284951063536421,0.9913897687107348
v2,bimodal_asymmetric,bimodal,100,insufficient,200,71,0.355,0.2919862754043116,0.42347886924509565,0.028169014084507043,0.007759263582683522,0.0970150011664947,0.971830985915493,0.9029849988335054,0.9922407364173166
v3_default,bimodal_asymmetric,bimodal,100,all,200,200,1.0,0.9811546736227335,1.0,0.025,0.010724719651761264,0.05717834040664198,0.975,0.942821659593358,0.9892752803482386
v3_default,bimodal_asymmetric,bimodal,100,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
v3_default,bimodal_asymmetric,bimodal,100,caution,200,200,1.0,0.9811546736227335,1.0,0.025,0.010724719651761264,0.05717834040664198,0.975,0.942821659593358,0.9892752803482386
v3_default,bimodal_asymmetric,bimodal,100,insufficient,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
v3_oracle_simulation_truth,bimodal_asymmetric,bimodal,100,all,200,200,1.0,0.9811546736227335,1.0,0.025,0.010724719651761264,0.05717834040664198,0.975,0.942821659593358,0.9892752803482386
v3_oracle_simulation_truth,bimodal_asymmetric,bimodal,100,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
v3_oracle_simulation_truth,bimodal_asymmetric,bimodal,100,caution,200,200,1.0,0.9811546736227335,1.0,0.025,0.010724719651761264,0.05717834040664198,0.975,0.942821659593358,0.9892752803482386
v3_oracle_simulation_truth,bimodal_asymmetric,bimodal,100,insufficient,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
v2,bimodal_asymmetric,bimodal,200,all,200,200,1.0,0.9811546736227335,1.0,0.07,0.042152171828342806,0.11405480885610647,0.93,0.8859451911438936,0.9578478281716571
v2,bimodal_asymmetric,bimodal,200,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
v2,bimodal_asymmetric,bimodal,200,caution,200,137,0.685,0.6176504391426966,0.745376790097715,0.06569343065693431,0.03494333900466338,0.12013499519876591,0.9343065693430657,0.879865004801234,0.9650566609953366
